Bandera Gray		Buffalo Berea		Gray Berea		
PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	
3.83E+01	1.07E+04	2.90E+01	8.83E+03	6.28E+01	2.73E+04	
3.86E+01	1.07E+04	2.92E+01	8.84E+03	6.32E+01	2.72E+04	
3.89E+01	1.06E+04	2.94E+01	8.84E+03	6.36E+01	2.70E+04	
3.92E+01	1.06E+04	2.97E+01	8.79E+03	6.40E+01	2.67E+04	
3.95E+01	1.05E+04	2.99E+01	8.81E+03	6.44E+01	2.64E+04	
3.98E+01	1.05E+04	3.02E+01	8.79E+03	6.48E+01	2.66E+04	
4.01E+01	1.05E+04	3.04E+01	8.88E+03	6.52E+01	2.65E+04	
4.04E+01	1.05E+04	3.07E+01	8.96E+03	6.56E+01	2.62E+04	
4.07E+01	1.05E+04	3.09E+01	9.00E+03	6.60E+01	2.59E+04	
4.09E+01	1.05E+04	3.11E+01	9.10E+03	6.64E+01	2.57E+04	
4.12E+01	1.05E+04	3.14E+01	9.11E+03	6.68E+01	2.58E+04	
4.15E+01	1.06E+04	3.16E+01	9.15E+03	6.71E+01	2.57E+04	
4.18E+01	1.05E+04	3.19E+01	9.20E+03	6.75E+01	2.55E+04	
4.21E+01	1.05E+04	3.21E+01	9.23E+03	6.79E+01	2.53E+04	
4.24E+01	1.04E+04	3.24E+01	9.21E+03	6.83E+01	2.51E+04	
4.27E+01	1.04E+04	3.26E+01	9.27E+03	6.87E+01	2.49E+04	
4.30E+01	1.04E+04	3.28E+01	9.33E+03	6.91E+01	2.45E+04	
4.33E+01	1.03E+04	3.31E+01	9.38E+03	6.95E+01	2.43E+04	
4.36E+01	1.03E+04	3.33E+01	9.37E+03	6.99E+01	2.42E+04	
4.39E+01	1.04E+04	3.36E+01	9.39E+03	7.03E+01	2.42E+04	
4.42E+01	1.04E+04	3.38E+01	9.42E+03	7.07E+01	2.41E+04	
4.45E+01	1.03E+04	3.41E+01	9.53E+03	7.11E+01	2.43E+04	
4.47E+01	1.02E+04	3.43E+01	9.54E+03	7.14E+01	2.41E+04	
4.50E+01	1.01E+04	3.45E+01	9.59E+03	7.18E+01	2.40E+04	
4.53E+01	1.01E+04	3.48E+01	9.69E+03	7.22E+01	2.42E+04	
4.56E+01	1.01E+04	3.50E+01	9.76E+03	7.26E+01	2.39E+04	
4.59E+01	1.01E+04	3.53E+01	9.86E+03	7.30E+01	2.39E+04	
4.62E+01	1.01E+04	3.55E+01	9.97E+03	7.34E+01	2.38E+04	
4.65E+01	1.01E+04	3.58E+01	1.01E+04	7.38E+01	2.36E+04	
4.68E+01	1.01E+04	3.60E+01	1.01E+04	7.42E+01	2.35E+04	
4.71E+01	1.01E+04	3.62E+01	1.02E+04	7.46E+01	2.34E+04	
4.74E+01	1.01E+04	3.65E+01	1.02E+04	7.50E+01	2.32E+04	
4.77E+01	1.01E+04	3.67E+01	1.02E+04	7.53E+01	2.30E+04	
4.80E+01	1.01E+04	3.70E+01	1.03E+04	7.57E+01	2.30E+04	
4.82E+01	1.01E+04	3.72E+01	1.03E+04	7.61E+01	2.30E+04	
4.85E+01	1.01E+04	3.75E+01	1.04E+04	7.65E+01	2.28E+04	
4.88E+01	1.01E+04	3.77E+01	1.05E+04	7.69E+01	2.28E+04	
4.91E+01	1.01E+04	3.79E+01	1.05E+04	7.73E+01	2.28E+04	
4.94E+01	1.00E+04	3.82E+01	1.05E+04	7.77E+01	2.29E+04	
4.97E+01	1.00E+04	3.84E+01	1.05E+04	7.81E+01	2.29E+04	
5.00E+01	1.01E+04	3.87E+01	1.06E+04	7.85E+01	2.29E+04	
5.03E+01	9.98E+03	3.89E+01	1.07E+04	7.88E+01	2.28E+04	
5.06E+01	9.99E+03	3.92E+01	1.06E+04	7.92E+01	2.28E+04	
5.09E+01	1.00E+04	3.94E+01	1.06E+04	7.96E+01	2.29E+04	
5.12E+01	1.00E+04	3.96E+01	1.05E+04	8.00E+01	2.30E+04	
5.14E+01	1.01E+04	3.99E+01	1.05E+04	8.04E+01	2.32E+04	
5.17E+01	1.00E+04	4.01E+01	1.05E+04	8.08E+01	2.33E+04	
5.20E+01	1.00E+04	4.04E+01	1.05E+04	8.12E+01	2.36E+04	
5.23E+01	1.01E+04	4.06E+01	1.05E+04	8.16E+01	2.35E+04	
5.26E+01	1.01E+04	4.09E+01	1.05E+04	8.20E+01	2.36E+04	
5.29E+01	1.01E+04	4.11E+01	1.06E+04	8.23E+01	2.36E+04	
5.32E+01	1.02E+04	4.13E+01	1.07E+04	8.27E+01	2.36E+04	
5.35E+01	1.02E+04	4.16E+01	1.07E+04	8.31E+01	2.35E+04	
5.38E+01	1.02E+04	4.18E+01	1.07E+04	8.35E+01	2.35E+04	
5.41E+01	1.02E+04	4.21E+01	1.08E+04	8.39E+01	2.34E+04	
5.44E+01	1.02E+04	4.23E+01	1.08E+04	8.43E+01	2.33E+04	
5.46E+01	1.02E+04	4.26E+01	1.08E+04	8.47E+01	2.33E+04	
5.49E+01	1.02E+04	4.28E+01	1.08E+04	8.51E+01	2.33E+04	
5.52E+01	1.03E+04	4.30E+01	1.09E+04	8.54E+01	2.33E+04	
5.55E+01	1.03E+04	4.33E+01	1.09E+04	8.58E+01	2.34E+04	
5.58E+01	1.03E+04	4.35E+01	1.09E+04	8.62E+01	2.34E+04	
5.61E+01	1.03E+04	4.38E+01	1.09E+04	8.66E+01	2.34E+04	
5.64E+01	1.03E+04	4.40E+01	1.09E+04	8.70E+01	2.34E+04	
5.67E+01	1.02E+04	4.43E+01	1.09E+04	8.74E+01	2.34E+04	
5.70E+01	1.02E+04	4.45E+01	1.10E+04	8.78E+01	2.33E+04	
5.73E+01	1.03E+04	4.47E+01	1.11E+04	8.82E+01	2.32E+04	
5.76E+01	1.04E+04	4.50E+01	1.11E+04	8.85E+01	2.32E+04	
5.78E+01	1.03E+04	4.52E+01	1.12E+04	8.89E+01	2.31E+04	
5.81E+01	1.04E+04	4.55E+01	1.12E+04	8.93E+01	2.32E+04	
5.84E+01	1.04E+04	4.57E+01	1.13E+04	8.97E+01	2.31E+04	
5.87E+01	1.04E+04	4.59E+01	1.13E+04	9.01E+01	2.30E+04	
5.90E+01	1.04E+04	4.62E+01	1.13E+04	9.05E+01	2.30E+04	
5.93E+01	1.04E+04	4.64E+01	1.13E+04	9.09E+01	2.30E+04	
5.96E+01	1.04E+04	4.67E+01	1.13E+04	9.13E+01	2.30E+04	
5.99E+01	1.05E+04	4.69E+01	1.14E+04	9.16E+01	2.28E+04	
6.02E+01	1.05E+04	4.72E+01	1.14E+04	9.20E+01	2.25E+04	
6.05E+01	1.06E+04	4.74E+01	1.15E+04	9.24E+01	2.24E+04	
6.07E+01	1.05E+04	4.76E+01	1.14E+04	9.28E+01	2.23E+04	
6.10E+01	1.06E+04	4.79E+01	1.14E+04	9.32E+01	2.21E+04	
6.13E+01	1.06E+04	4.81E+01	1.14E+04	9.36E+01	2.21E+04	
6.16E+01	1.05E+04	4.84E+01	1.14E+04	9.40E+01	2.20E+04	
6.19E+01	1.05E+04	4.86E+01	1.13E+04	9.43E+01	2.19E+04	
6.22E+01	1.05E+04	4.89E+01	1.13E+04	9.47E+01	2.18E+04	
