PV	Sw
2.22E+00	0.656244641
2.23E+00	0.656244641
2.24E+00	0.651221434
2.25E+00	0.651221434
2.26E+00	0.646291476
2.27E+00	0.646291476
2.28E+00	0.646291476
2.29E+00	0.641400424
2.30E+00	0.641400424
2.31E+00	0.636686408
2.32E+00	0.636686408
2.33E+00	0.636686408
2.34E+00	0.63193758
2.35E+00	0.63193758
2.36E+00	0.627317765
2.37E+00	0.627317765
2.38E+00	0.627317765
2.38E+00	0.622781766
2.39E+00	0.622781766
2.40E+00	0.622781766
2.41E+00	0.618313713
2.42E+00	0.618313713
2.43E+00	0.613885806
2.44E+00	0.613885806
2.45E+00	0.613885806
2.46E+00	0.609591867
2.47E+00	0.609591867
2.48E+00	0.605364236
2.49E+00	0.605364236
2.50E+00	0.605364236
2.51E+00	0.601296448
2.52E+00	0.601296448
2.53E+00	0.597303282
2.54E+00	0.597303282
2.55E+00	0.597303282
2.56E+00	0.593485703
2.56E+00	0.593485703
2.57E+00	0.589751021
2.58E+00	0.589751021
2.59E+00	0.589751021
2.60E+00	0.585968565
2.61E+00	0.585968565
2.62E+00	0.585968565
2.63E+00	0.58233252
2.64E+00	0.58233252
2.65E+00	0.578784129
2.66E+00	0.578784129
2.67E+00	0.578784129
2.68E+00	0.575379321
2.69E+00	0.575379321
2.70E+00	0.572104102
2.71E+00	0.572104102
2.72E+00	0.572104102
2.73E+00	0.568949331
2.73E+00	0.568949331
2.74E+00	0.565850141
2.75E+00	0.565850141
2.76E+00	0.565850141
2.77E+00	0.562811202
2.78E+00	0.562811202
2.79E+00	0.562811202
2.80E+00	0.559896574
2.81E+00	0.559896574
2.82E+00	0.557116764
2.83E+00	0.557116764
2.84E+00	0.557116764
2.85E+00	0.554453845
2.86E+00	0.554453845
2.87E+00	0.551867173
2.88E+00	0.551867173
2.89E+00	0.551867173
2.90E+00	0.549422254
2.91E+00	0.549422254
2.91E+00	0.547096619
2.92E+00	0.547096619
2.93E+00	0.547096619
2.94E+00	0.544756118
2.95E+00	0.544756118
2.96E+00	0.544756118
2.97E+00	0.542450198
2.98E+00	0.542450198
2.99E+00	0.540315993
3.00E+00	0.540315993
3.01E+00	0.540315993
3.02E+00	0.538249196
3.03E+00	0.538249196
3.04E+00	0.536259787
3.05E+00	0.536259787
3.06E+00	0.536259787
3.07E+00	0.534327534
3.08E+00	0.534327534
3.09E+00	0.532458525
3.09E+00	0.532458525
3.10E+00	0.532458525
3.11E+00	0.530721701
3.12E+00	0.530721701
3.13E+00	0.529016194
3.14E+00	0.529016194
3.15E+00	0.529016194
3.16E+00	0.527412814
3.17E+00	0.527412814
3.18E+00	0.527412814
3.19E+00	0.52582622
3.20E+00	0.52582622
3.21E+00	0.524275298
3.22E+00	0.524275298
3.23E+00	0.524275298
3.24E+00	0.522807791
3.25E+00	0.522807791
3.26E+00	0.521396968
3.27E+00	0.521396968
3.27E+00	0.521396968
3.28E+00	0.520041157
3.29E+00	0.520041157
3.30E+00	0.51876948
3.31E+00	0.51876948
3.32E+00	0.51876948
3.33E+00	0.517526905
3.34E+00	0.517526905
3.35E+00	0.517526905
3.36E+00	0.516320174
3.37E+00	0.516320174
3.38E+00	0.515179129
3.39E+00	0.515179129
3.40E+00	0.515179129
3.41E+00	0.513983997
