Bandera Gray		Buffalo Berea		Gray Berea		
PV	Amplitude, Pa	PV	Amplitude, Pa	PV	Amplitude, Pa	
30.38000543	0.324888516	22.39997036	0.27292356	52.21381885	0.414920952	
30.67473501	0.324590143	22.64301479	0.272172932	52.60897028	0.416066365	
30.9693942	0.323528147	22.88604679	0.271150259	53.0039951	0.416370519	
31.26397068	0.322998773	23.12906218	0.270055659	53.39889948	0.416706153	
31.55845759	0.32241491	23.37207455	0.268912207	53.7936579	0.417476291	
31.85287655	0.322060539	23.61508592	0.267364916	54.18830682	0.418476343	
32.14721371	0.321645216	23.85808512	0.265975367	54.58281424	0.419551353	
32.44147442	0.321154684	24.10106211	0.264725597	54.97720335	0.420298503	
32.73567296	0.32061718	24.34404231	0.263197428	55.3714828	0.420618396	
33.02977665	0.320456601	24.58700992	0.261601882	55.76563545	0.421066653	
33.32381349	0.319728566	24.82997442	0.260442595	56.15965993	0.421113469	
33.61779091	0.319560143	25.07293254	0.259274294	56.55357141	0.422000011	
33.911701	0.319272825	25.31588499	0.258174321	56.9473795	0.422161261	
34.20553462	0.319167275	25.55882746	0.256877596	57.34105332	0.422380939	
34.49931552	0.318928576	25.80174751	0.255418601	57.73463657	0.422191754	
34.7929987	0.318811441	26.04468019	0.254361813	58.12811689	0.422165384	
35.08662779	0.318911874	26.2876116	0.253268425	58.52146338	0.421817111	
35.38020567	0.31892598	26.53051325	0.252184285	58.91468823	0.421650426	
35.67370564	0.318537303	26.77341259	0.250882841	59.30782256	0.421668779	
35.96714193	0.318382639	27.01632798	0.249483104	59.70085257	0.421391607	
36.26053616	0.317998968	27.25925598	0.248736403	60.09378056	0.420536894	
36.55385703	0.317890303	27.50218501	0.248016489	60.48657964	0.419422848	
36.84711628	0.31753603	27.74510885	0.246911886	60.87931411	0.418620633	
37.14033182	0.317094255	27.98802387	0.246174632	61.2719007	0.41764784	
37.43347888	0.317054987	28.23095087	0.245480296	61.66440938	0.418054323	
37.7265712	0.317427214	28.47387598	0.245001517	62.05679453	0.41736556	
38.01961113	0.317433779	28.7167928	0.244120704	62.44910893	0.416645188	
38.31258518	0.317513635	28.95968531	0.243525172	62.84129069	0.415375669	
38.60549113	0.31790098	29.20259503	0.243163368	63.23337875	0.413979713	
38.8983619	0.318354583	29.44548404	0.242910315	63.62536963	0.412459651	
39.19116698	0.318525499	29.68838157	0.242678748	64.01726613	0.410630369	
39.48390412	0.318970453	29.93127152	0.242357605	64.40905769	0.408732253	
39.77660445	0.319019531	30.17415779	0.242117823	64.80074948	0.408756289	
40.0692738	0.318926937	30.41702696	0.241625773	65.19235061	0.407616298	
40.36187881	0.318888315	30.65990264	0.241453079	65.58385255	0.405737525	
40.65442391	0.3189618	30.90276706	0.241284077	65.97526528	0.40403929	
40.94693267	0.318801566	31.14563003	0.241118022	66.3665958	0.402450068	
41.23938684	0.318180192	31.38848747	0.240571701	66.75782669	0.402193548	
41.53177602	0.317963243	31.63134162	0.239886073	67.14900207	0.400635795	
41.82413778	0.3175436	31.87418478	0.239377913	67.54002455	0.399316608	
42.11643539	0.317947918	32.11701898	0.239118607	67.93101307	0.397842335	
42.4086987	0.317668012	32.3598535	0.238865794	68.32188504	0.396638354	
